CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,objid_GAL,ra_GAL,dec_GAL,u_GAL,g_GAL,r_GAL,i_GAL,z_GAL,redshift_GAL,redshift_err_GAL,separation_arcmin,u_g,g_r,r_i,i_z
2008bf,5,0.02462,0.00131,0.02451,0.00099,0.02342,0.00099,15.7991,0.229679,35.0521,0.231261,-9.0,0,0,-0.14861,0.021687,0.39564,0.028192,15.4059,0.028187,0.0123496,0.000320609,-0.000198513,1.73426e-06,-5.28766e-06,181.012,20.2452,-999,-999,-9.0,-30.0449,250,0.0297117,10.3728,0.16,54555.6,0.0312,80,129.096,0.000420631,0.0507,0.1169,0.0723,0.002,1.0,0.003,2008bf,1.2376679159555686e+18,180.9844935,20.21787434,19.12842,17.2511,16.41837,16.04486,15.70185,0.02133894,9.080312e-06,2.255248415424031,1.8773199999999974,0.8327300000000015,0.37350999999999956,0.7165199999999992
2008bf,64,0.02462,0.00131,0.02451,0.00099,0.02342,0.00099,15.6368,0.232409,34.8898,0.233972,-9.0,0,0,-0.056199,0.026441,0.33607,0.068149,15.451,0.0345719,0.0118467,0.000377222,-0.000157122,-5.28713e-07,-8.48559e-06,181.012,20.2452,-999,-999,-9.0,-30.0449,250,0.0297117,10.3728,2.95,54555.0,0.0911,46,57.8826,0.11237,0.0577,0.1169,-0.0148,0.001,1.0,0.003,2008bf,1.2376679159555686e+18,181.0256995,20.23508253,15.32989,13.32863,12.47915,12.06146,11.7931,0.02106249,7.222844e-06,0.9814676062872315,2.0012600000000003,0.8494799999999998,0.41769000000000034,0.6860499999999998
2008bf,64,0.02462,0.00131,0.02451,0.00099,0.02342,0.00099,15.6368,0.232409,34.8898,0.233972,-9.0,0,0,-0.056199,0.026441,0.33607,0.068149,15.451,0.0345719,0.0118467,0.000377222,-0.000157122,-5.28713e-07,-8.48559e-06,181.012,20.2452,-999,-999,-9.0,-30.0449,250,0.0297117,10.3728,2.95,54555.0,0.0911,46,57.8826,0.11237,0.0577,0.1169,-0.0148,0.001,1.0,0.003,2008bf,1.2376679159555686e+18,181.0205585,20.24677968,17.97891,16.2025,15.38839,14.98903,14.67867,0.02232904,8.029224e-06,0.49101764522409563,1.7764099999999985,0.8141100000000012,0.3993599999999997,0.709719999999999
2008bf,64,0.02462,0.00131,0.02451,0.00099,0.02342,0.00099,15.6368,0.232409,34.8898,0.233972,-9.0,0,0,-0.056199,0.026441,0.33607,0.068149,15.451,0.0345719,0.0118467,0.000377222,-0.000157122,-5.28713e-07,-8.48559e-06,181.012,20.2452,-999,-999,-9.0,-30.0449,250,0.0297117,10.3728,2.95,54555.0,0.0911,46,57.8826,0.11237,0.0577,0.1169,-0.0148,0.001,1.0,0.003,2008bf,1.2376679159555686e+18,181.0429138,20.2063527,20.45555,18.32323,17.55302,17.2025,16.95761,0.02090803,3.470024e-05,2.908949742997874,2.13232,0.7702099999999987,0.3505199999999995,0.5954100000000011
2008bf,64,0.02462,0.00131,0.02451,0.00099,0.02342,0.00099,15.6368,0.232409,34.8898,0.233972,-9.0,0,0,-0.056199,0.026441,0.33607,0.068149,15.451,0.0345719,0.0118467,0.000377222,-0.000157122,-5.28713e-07,-8.48559e-06,181.012,20.2452,-999,-999,-9.0,-30.0449,250,0.0297117,10.3728,2.95,54555.0,0.0911,46,57.8826,0.11237,0.0577,0.1169,-0.0148,0.001,1.0,0.003,2008bf,1.2376679159555686e+18,181.0061275,20.23231635,15.40732,13.49498,12.63215,12.20494,11.91513,0.02445287,8.28671e-06,0.8407448187842701,1.9123400000000004,0.8628300000000007,0.42720999999999876,0.7170199999999998
2008bf,64,0.02462,0.00131,0.02451,0.00099,0.02342,0.00099,15.6368,0.232409,34.8898,0.233972,-9.0,0,0,-0.056199,0.026441,0.33607,0.068149,15.451,0.0345719,0.0118467,0.000377222,-0.000157122,-5.28713e-07,-8.48559e-06,181.012,20.2452,-999,-999,-9.0,-30.0449,250,0.0297117,10.3728,2.95,54555.0,0.0911,46,57.8826,0.11237,0.0577,0.1169,-0.0148,0.001,1.0,0.003,2008bf,1.2376679159555686e+18,180.9844935,20.21787434,19.12842,17.2511,16.41837,16.04486,15.70185,0.02133894,9.080312e-06,2.255248415424031,1.8773199999999974,0.8327300000000015,0.37350999999999956,0.7165199999999992
2001cj,57,0.02494,0.00085,0.02491,2e-05,0.02409,2e-05,15.9443,0.226892,35.1973,0.228493,-9.0,0,1,-0.128297,0.040956,0.71544,0.10931,15.5679,0.0319093,0.010637,0.000312616,-0.000663218,1.00222e-06,-1.04672e-05,200.437,31.2468,-999,-999,-9.0,-9.2981,250,0.0120998,7.0,-9.0,52066.3,0.1175,40,34.7165,0.70659,0.1062,0.0749,0.0735,0.003,1.0,0.005,2001cj,1.2376653298581504e+18,200.4393596,31.2372424,16.74451,14.9918,14.26502,13.91319,13.60557,0.02408777,1.662626e-05,0.5860919138492217,1.7527099999999987,0.7267799999999998,0.35182999999999964,0.6594499999999996
2003it,63,0.0251,0.00085,0.02413,1e-05,0.02528,1e-05,15.826,0.204219,35.079,0.205996,-9.0,0,1,0.026245,0.032674,-1.5665,0.16037,16.1328,0.0517252,0.00632246,0.000301206,-9.66099e-05,-4.79265e-06,-7.6375e-06,1.452,27.4527,-999,-999,-9.0,-284.915,250,0.0608018,10.4235,0.026,52935.1,0.3436,8,7.47616,0.48623,0.0753,0.0744,-0.0579,0.001,1.0,0.008,2003it,1.237663234989818e+18,1.451635668,27.44936056,16.59924,14.71564,13.76899,13.27575,12.8988,0.02506045,8.586629e-06,0.20130325420639453,1.8836000000000013,0.94665,0.4932400000000001,0.8701900000000009
AT2017cfc,150,0.02512,0.00087,0.02499,0.00016,0.02402,0.00016,15.7746,0.188272,35.0276,0.190198,-9.0,0,0,-0.006368,0.032331,-0.915129,0.095605,15.912,0.0440503,0.00774839,0.000314366,-1.22272e-05,-2.41806e-06,-8.18557e-06,208.163,-2.0022,-999,-999,-9.0,-39.4698,250,0.0400918,10.4655,0.0,57837.6,0.1193,12,29.0901,0.00382045,0.0718,0.0761,-0.0303,0.001,1.0,0.005,AT2017cfc,1.23767199295393e+18,208.154037,-1.957914253,19.02456,17.46272,16.81014,16.48644,16.22444,0.02466421,1.330443e-05,2.7109556706406543,1.5618400000000001,0.6525800000000004,0.32369999999999877,0.5856999999999992
2002bf,63,0.02525,0.00085,0.02494,1e-05,0.02438,1e-05,15.6911,0.239204,34.9441,0.240723,-9.0,0,0,-0.103208,0.092017,-2.2722,0.30468,15.7978,0.15303,0.00860737,0.00121319,0.0145497,-0.000164888,-0.000103508,153.926,55.6685,-999,-999,-9.0,-91.716,250,0.00963584,10.3104,0.031,52338.3,0.9293,3,0.21944,0.97439,0.1361,0.074,0.0382,0.001,1.0,0.003,2002bf,1.2376551078336922e+18,153.9260575,55.66748606,15.98073,14.32413,13.55819,13.19878,12.85751,0.02437596,7.387314e-06,0.06086750803219297,1.6565999999999992,0.7659400000000005,0.35941000000000045,0.7006800000000002
2002bf,50,0.02525,0.00085,0.02494,1e-05,0.02438,1e-05,15.6533,0.267708,34.9063,0.269066,-9.0,0,1,0.13662,0.031903,-0.318008,0.13092,16.0595,0.048654,0.00676408,0.000303112,0.000528514,-1.41797e-05,-7.74033e-06,153.926,55.6685,-999,-999,-9.0,-91.716,250,0.00963584,10.3104,0.031,52339.2,0.3463,32,43.0875,0.0912128,0.0706,0.074,-0.1156,0.003,1.0,0.021,2002bf,1.2376551078336922e+18,153.9260575,55.66748606,15.98073,14.32413,13.55819,13.19878,12.85751,0.02437596,7.387314e-06,0.06086750803219297,1.6565999999999992,0.7659400000000005,0.35941000000000045,0.7006800000000002
ASASSN-16bq,150,0.02534,0.00086,0.02582,1e-05,0.02493,1e-05,15.9352,0.174626,35.1882,0.176701,-9.0,0,0,-0.052867,0.034074,-1.67717,0.070301,16.0681,0.0451419,0.00671057,0.000279007,-0.000190497,-2.72959e-06,-8.13338e-06,212.86,1.286,-999,-999,-9.0,141.164,250,0.0330339,10.6831,0.001,57437.8,0.193,24,24.9616,0.40785,0.0736,0.0746,-0.0035,0.0,1.0,0.003,ASASSN-16bq,1.237651735234478e+18,212.8238545,1.275275102,16.86234,15.23164,14.46843,14.08943,13.77573,0.02491419,9.287376e-06,2.2616641733016376,1.6306999999999992,0.7632100000000008,0.37899999999999956,0.6927000000000003
ASASSN-16bq,150,0.02534,0.00086,0.02582,1e-05,0.02493,1e-05,15.9352,0.174626,35.1882,0.176701,-9.0,0,0,-0.052867,0.034074,-1.67717,0.070301,16.0681,0.0451419,0.00671057,0.000279007,-0.000190497,-2.72959e-06,-8.13338e-06,212.86,1.286,-999,-999,-9.0,141.164,250,0.0330339,10.6831,0.001,57437.8,0.193,24,24.9616,0.40785,0.0736,0.0746,-0.0035,0.0,1.0,0.003,ASASSN-16bq,1.2376517352344783e+18,212.8298541,1.309538781,18.07174,16.21465,15.38642,14.98861,14.65635,0.02491571,1.153353e-05,2.2944672543768667,1.8570899999999995,0.8282299999999996,0.3978099999999998,0.7300699999999996
PSNJ0153424,150,0.02556,0.00085,0.02474,1e-05,0.02565,1e-05,15.9298,0.23216,35.1828,0.233724,-9.0,0,1,0.069316,0.033712,-0.609377,0.09066,16.2304,0.0481898,0.00577895,0.000256496,-0.000140587,-1.77445e-06,-7.07197e-06,28.4267,29.9363,-999,-999,-9.0,-237.62,250,0.0465803,10.2733,0.001,57393.6,0.1038,10,19.6557,0.0326823,0.0733,0.0731,-0.0561,0.001,1.0,0.014,PSNJ0153424,1.2376795805472522e+18,28.42607199,29.9332493,15.58328,14.1946,13.46614,13.0887,12.77915,0.02562302,7.618749e-06,0.18593182442861061,1.3886800000000008,0.7284600000000001,0.37744,0.6869899999999998
SN2017hn,150,0.02557,0.00085,0.02492,1e-05,0.02385,1e-05,15.8091,0.188251,35.0621,0.190177,-9.0,0,1,-0.027287,0.035539,0.62439,0.21566,15.6562,0.0432661,0.00980663,0.00039079,-0.000558218,-7.1589e-06,-1.1458e-05,196.914,6.3376,-999,-999,-9.0,-189.322,250,0.0283978,10.8634,0.001,57768.2,0.399,5,3.34465,0.64701,0.0887,0.0731,-0.0288,0.001,1.0,0.003,SN2017hn,1.2376619744049234e+18,196.9142202,6.335939033,16.03471,14.53598,13.78519,13.38252,13.06021,0.02385031,7.601301e-06,0.1005194082710345,1.4987300000000001,0.7507900000000003,0.4026700000000005,0.7249800000000004
SN2017ms,150,0.02591,0.00086,0.02538,1e-05,0.02448,1e-05,15.8651,0.198351,35.1181,0.200181,-9.0,0,1,-0.120033,0.033733,0.43188,0.23212,15.5491,0.0375811,0.0108229,0.000374618,-0.000178095,-1.90942e-05,-9.24018e-06,156.676,36.6805,-999,-999,-9.0,-156.121,250,0.00854963,8.61119,0.002,57782.3,0.3625,4,21.5039,0.000650383,0.092,0.073,0.0665,0.001,1.0,0.005,SN2017ms,1.2376646689726794e+18,156.6749632,36.68144816,18.23384,17.08864,16.67329,16.4446,16.33867,0.02448259,8.509825e-06,0.07566610229743762,1.145199999999999,0.4153500000000001,0.22869000000000028,0.334620000000001
PSNJ2352371,150,0.02596,0.00085,0.02525,1e-05,0.02648,1e-05,16.1484,0.198664,35.4014,0.200491,-9.0,0,0,-0.013533,0.040167,-2.03886,0.13735,16.4324,0.0509978,0.00479758,0.000225346,-6.91734e-06,-4.52022e-06,-7.38173e-06,358.155,14.5525,-999,-999,-9.0,-208.216,250,0.0355061,10.5389,0.005,57284.0,0.4607,10,24.9873,0.00536969,0.0917,0.072,-0.0273,0.001,1.0,0.004,PSNJ2352371,1.2376562417081385e+18,358.1517002,14.55143857,15.91156,14.05684,13.22116,12.80914,12.47443,0.02648247,7.623361e-06,0.20194171685952284,1.8547200000000004,0.83568,0.41202000000000005,0.7467299999999994
2005M,57,0.02598,0.00086,0.02584,5e-05,0.02484,5e-05,16.0401,0.177503,35.2931,0.179545,-9.0,0,1,-0.092071,0.026546,1.50783,0.072066,15.6227,0.0330614,0.0101141,0.00030798,-0.00046396,1.77892e-06,-6.82669e-06,144.385,23.2007,-999,-999,-9.0,-42.1176,250,0.026828,8.67964,-9.0,53405.7,0.0823,44,58.5878,0.0694804,0.0615,0.0728,0.0373,0.004,1.0,0.006,2005M,1.2376672534628925e+18,144.3850857,23.20320815,16.47162,15.84531,15.66504,15.55692,15.44363,0.02473602,7.570502e-06,0.15056319396461013,0.6263100000000019,0.18027000000000015,0.10811999999999955,0.22140999999999877
2005M,57,0.02598,0.00086,0.02584,5e-05,0.02484,5e-05,16.0401,0.177503,35.2931,0.179545,-9.0,0,1,-0.092071,0.026546,1.50783,0.072066,15.6227,0.0330614,0.0101141,0.00030798,-0.00046396,1.77892e-06,-6.82669e-06,144.385,23.2007,-999,-999,-9.0,-42.1176,250,0.026828,8.67964,-9.0,53405.7,0.0823,44,58.5878,0.0694804,0.0615,0.0728,0.0373,0.004,1.0,0.006,2005M,1.2376672110502216e+18,144.4068772,23.24074444,15.95591,14.616,13.94853,13.59947,13.31182,0.02496084,6.325751e-06,2.6884872846072017,1.3399099999999997,0.6674699999999998,0.3490599999999997,0.636709999999999
2005M,5,0.02598,0.00086,0.02584,5e-05,0.02484,5e-05,15.8551,0.196395,35.1081,0.198242,-9.0,0,1,-0.016115,0.020927,1.27672,0.030701,15.6789,0.0265838,0.00960343,0.000235136,-0.000200983,1.3862e-06,-3.85166e-06,144.385,23.2007,-999,-999,-9.0,-42.1176,250,0.026828,8.67964,0.01,53406.8,0.0344,155,200.213,0.00840804,0.0486,0.0728,0.0096,0.003,1.0,0.01,2005M,1.2376672534628925e+18,144.3850857,23.20320815,16.47162,15.84531,15.66504,15.55692,15.44363,0.02473602,7.570502e-06,0.15056319396461013,0.6263100000000019,0.18027000000000015,0.10811999999999955,0.22140999999999877
2005M,5,0.02598,0.00086,0.02584,5e-05,0.02484,5e-05,15.8551,0.196395,35.1081,0.198242,-9.0,0,1,-0.016115,0.020927,1.27672,0.030701,15.6789,0.0265838,0.00960343,0.000235136,-0.000200983,1.3862e-06,-3.85166e-06,144.385,23.2007,-999,-999,-9.0,-42.1176,250,0.026828,8.67964,0.01,53406.8,0.0344,155,200.213,0.00840804,0.0486,0.0728,0.0096,0.003,1.0,0.01,2005M,1.2376672110502216e+18,144.4068772,23.24074444,15.95591,14.616,13.94853,13.59947,13.31182,0.02496084,6.325751e-06,2.6884872846072017,1.3399099999999997,0.6674699999999998,0.3490599999999997,0.636709999999999
2005M,64,0.02598,0.00086,0.02584,5e-05,0.02484,5e-05,15.582,0.347266,34.835,0.348314,-9.0,0,1,0.14443,0.044361,1.55227,0.33156,15.8973,0.0558557,0.00785403,0.000404051,0.00186147,-2.45032e-05,-1.64573e-05,144.385,23.2007,-999,-999,-9.0,-42.1176,250,0.026828,8.67964,0.034,53404.3,0.7712,1,10.9367,0.000942779,0.0978,0.0728,0.0453,0.018,1.0,0.041,2005M,1.2376672534628925e+18,144.3850857,23.20320815,16.47162,15.84531,15.66504,15.55692,15.44363,0.02473602,7.570502e-06,0.15056319396461013,0.6263100000000019,0.18027000000000015,0.10811999999999955,0.22140999999999877
2005M,64,0.02598,0.00086,0.02584,5e-05,0.02484,5e-05,15.582,0.347266,34.835,0.348314,-9.0,0,1,0.14443,0.044361,1.55227,0.33156,15.8973,0.0558557,0.00785403,0.000404051,0.00186147,-2.45032e-05,-1.64573e-05,144.385,23.2007,-999,-999,-9.0,-42.1176,250,0.026828,8.67964,0.034,53404.3,0.7712,1,10.9367,0.000942779,0.0978,0.0728,0.0453,0.018,1.0,0.041,2005M,1.2376672110502216e+18,144.4068772,23.24074444,15.95591,14.616,13.94853,13.59947,13.31182,0.02496084,6.325751e-06,2.6884872846072017,1.3399099999999997,0.6674699999999998,0.3490599999999997,0.636709999999999
2005mc,5,0.02626,0.00086,0.02597,1e-05,0.02515,1e-05,16.0325,0.287644,35.2855,0.288909,-9.0,0,0,0.17486,0.026247,-1.91661,0.051827,16.7696,0.0411079,0.00351693,0.000133157,-7.64243e-05,-1.078e-06,-2.37016e-06,126.776,21.646,-999,-999,-9.0,-83.8418,250,0.0375157,10.5777,0.05,53731.7,0.2487,60,122.726,3.31346e-06,0.0631,0.072,-0.1388,0.003,1.0,0.024,2005mc,1.237664835926098e+18,126.7748351,21.64527633,16.20721,14.29599,13.43712,13.02341,12.71317,0.0251486,5.946261e-06,0.07813962946087796,1.9112200000000001,0.8588699999999996,0.41371,0.7239500000000003
2005mc,64,0.02626,0.00086,0.02597,1e-05,0.02515,1e-05,16.0899,0.322102,35.3429,0.323231,-9.0,0,0,0.2078,0.03052,-2.6789,0.12122,17.003,0.0400369,0.00283659,0.0001046,-0.000111135,-6.88108e-07,-2.51966e-06,126.776,21.646,-999,-999,-9.0,-83.8418,250,0.0375157,10.5777,0.543,53733.8,0.1543,30,47.4397,0.0225313,0.071,0.072,-0.1771,0.007,1.0,0.026,2005mc,1.237664835926098e+18,126.7748351,21.64527633,16.20721,14.29599,13.43712,13.02341,12.71317,0.0251486,5.946261e-06,0.07813962946087796,1.9112200000000001,0.8588699999999996,0.41371,0.7239500000000003
ASASSN-15mf,150,0.02695,0.00086,0.02691,1e-05,0.02604,1e-05,15.8654,0.179348,35.1184,0.181369,-9.0,0,0,-0.023271,0.034768,-1.14563,0.16636,15.9904,0.0442641,0.00720849,0.000293881,-0.000222012,2.95863e-06,-8.33321e-06,213.595,2.9755,-999,-999,-9.0,-14.0106,250,0.0317787,10.9913,0.001,57212.5,0.3922,10,19.9159,0.0465071,0.0802,0.0702,-0.0245,0.0,1.0,0.004,ASASSN-15mf,1.2376517373822241e+18,213.5655195,2.951132105,17.38254,16.30894,15.90702,15.70182,15.5401,0.02484496,8.866507e-06,2.2930454216711658,1.073599999999999,0.4019200000000005,0.2051999999999996,0.3669199999999986
ASASSN-15mf,150,0.02695,0.00086,0.02691,1e-05,0.02604,1e-05,15.8654,0.179348,35.1184,0.181369,-9.0,0,0,-0.023271,0.034768,-1.14563,0.16636,15.9904,0.0442641,0.00720849,0.000293881,-0.000222012,2.95863e-06,-8.33321e-06,213.595,2.9755,-999,-999,-9.0,-14.0106,250,0.0317787,10.9913,0.001,57212.5,0.3922,10,19.9159,0.0465071,0.0802,0.0702,-0.0245,0.0,1.0,0.004,ASASSN-15mf,1.2376517373822894e+18,213.5881474,2.955874599,18.78249,16.39822,15.59101,15.14154,14.84325,0.02630735,1.374281e-05,1.247060405031509,2.3842700000000008,0.8072099999999978,0.4494699999999998,0.7477600000000013
1992P,50,0.02736,0.00086,0.02643,1e-05,0.02531,1e-05,16.06,0.218475,35.313,0.220137,-9.0,0,1,-0.104397,0.042826,0.15615,0.27557,15.7953,0.0358796,0.00862712,0.000285095,-0.000955395,1.23526e-06,-9.60769e-06,190.704,10.3601,-999,-999,-9.0,-272.653,250,0.0175178,10.1744,-9.0,48719.8,0.381,12,16.2844,0.17855,0.1176,0.0692,0.0288,0.001,1.0,0.003,1992P,1.2376622380057887e+18,190.7049625,10.35746225,16.83066,15.23861,14.46414,14.0385,13.70749,0.02531419,7.66398e-06,0.16815184472191194,1.5920500000000022,0.7744699999999991,0.4256399999999996,0.7566500000000005
2007su,65,0.0274,0.00086,0.0266,1e-05,0.02783,1e-05,16.0512,0.351818,35.3042,0.352852,-9.0,0,0,0.17494,0.036404,0.24547,0.35091,16.655,0.0682278,0.00390856,0.000245614,0.00197896,8.91482e-07,-7.1183e-06,334.787,13.1779,-999,-999,-9.0,-231.919,250,0.0715845,8.47416,0.081,54460.6,0.6426,10,3.22716,0.97556,0.0768,0.0691,0.0466,0.014,1.0,0.046,2007su,1.2376562422350482e+18,334.7475366,13.18746941,17.44048,15.75117,14.94006,14.55312,14.24227,0.02684329,8.837234e-06,2.3758299303946826,1.6893100000000008,0.8111099999999993,0.38694000000000095,0.6977900000000012
2007su,65,0.0274,0.00086,0.0266,1e-05,0.02783,1e-05,16.0512,0.351818,35.3042,0.352852,-9.0,0,0,0.17494,0.036404,0.24547,0.35091,16.655,0.0682278,0.00390856,0.000245614,0.00197896,8.91482e-07,-7.1183e-06,334.787,13.1779,-999,-999,-9.0,-231.919,250,0.0715845,8.47416,0.081,54460.6,0.6426,10,3.22716,0.97556,0.0768,0.0691,0.0466,0.014,1.0,0.046,2007su,1.2376562422351135e+18,334.7715455,13.14379599,18.58389,17.6847,17.27591,17.02824,16.85198,0.02762282,5.307147e-06,2.2365947425245594,0.8991900000000008,0.40878999999999976,0.2476699999999994,0.4239299999999986
2007su,65,0.0274,0.00086,0.0266,1e-05,0.02783,1e-05,16.0512,0.351818,35.3042,0.352852,-9.0,0,0,0.17494,0.036404,0.24547,0.35091,16.655,0.0682278,0.00390856,0.000245614,0.00197896,8.91482e-07,-7.1183e-06,334.787,13.1779,-999,-999,-9.0,-231.919,250,0.0715845,8.47416,0.081,54460.6,0.6426,10,3.22716,0.97556,0.0768,0.0691,0.0466,0.014,1.0,0.046,2007su,1.237656242235114e+18,334.7868853,13.17791407,19.3436,18.30703,17.84151,17.56042,17.37944,0.02784197,6.412091e-06,0.006753744563911159,1.0365699999999975,0.4655200000000015,0.28108999999999895,0.46207000000000065
ASASSN-15fa,150,0.02741,0.00086,0.02721,1e-05,0.02734,1e-05,16.2706,0.223713,35.5236,0.225337,-9.0,0,0,0.053892,0.034025,0.83709,0.22502,16.3063,0.0425571,0.0053888,0.000211222,-0.000486078,5.61964e-06,-6.00842e-06,257.442,62.9743,-999,-999,-9.0,-57.8254,250,0.0235997,10.6915,0.001,57102.0,0.4594,8,4.27584,0.89234,0.0813,0.0691,-0.0599,0.001,1.0,0.012,ASASSN-15fa,1.2376717669317345e+18,257.433627,62.97304968,15.65409,13.97772,13.12647,12.74027,12.43348,0.02734522,7.211197e-06,0.24029205713482898,1.6763700000000004,0.8512500000000003,0.38619999999999877,0.69299
ASASSN-16av,150,0.02773,0.00086,0.02676,7e-05,0.02567,7e-05,16.0937,0.288615,35.3467,0.289875,-9.0,0,0,0.16057,0.036869,0.78114,0.21354,16.438,0.0463055,0.00477325,0.000203574,-0.000823663,5.42583e-07,-6.21859e-06,177.868,22.0261,-999,-999,-9.0,-284.498,250,0.0236045,10.9106,0.001,57409.6,0.4094,6,19.855,0.00293881,0.09,0.0683,-0.0894,0.002,1.0,0.024,ASASSN-16av,1.2376677822950277e+18,177.8952891,22.05851083,16.98852,15.1358,14.27969,13.89538,13.56042,0.02569333,8.816251e-06,2.466774678167286,1.8527200000000015,0.8561099999999993,0.38431000000000104,0.7192699999999999
ASASSN-16av,150,0.02773,0.00086,0.02676,7e-05,0.02567,7e-05,16.0937,0.288615,35.3467,0.289875,-9.0,0,0,0.16057,0.036869,0.78114,0.21354,16.438,0.0463055,0.00477325,0.000203574,-0.000823663,5.42583e-07,-6.21859e-06,177.868,22.0261,-999,-999,-9.0,-284.498,250,0.0236045,10.9106,0.001,57409.6,0.4094,6,19.855,0.00293881,0.09,0.0683,-0.0894,0.002,1.0,0.024,ASASSN-16av,1.2376677822949624e+18,177.8359543,22.05377266,19.75504,18.14399,17.40491,17.08374,16.81303,0.02724646,3.292064e-05,2.435805384428469,1.6110500000000023,0.7390799999999977,0.3211700000000022,0.5918799999999997
2005eq,57,0.02823,0.00086,0.02831,1e-05,0.02893,1e-05,16.2531,0.160842,35.5061,0.163093,-9.0,0,1,-0.010084,0.025201,1.50904,0.089028,16.0004,0.0481914,0.00714215,0.000317011,-0.000136818,-3.14576e-07,-6.2257e-06,47.2055,-7.0332,-999,-999,-9.0,23.0788,250,0.0636272,10.3697,-9.0,53654.7,0.0975,55,34.3517,0.98689,0.0534,0.0671,-0.0513,0.001,1.0,0.005,2005eq,1.2376499629908296e+18,47.20134428,-7.040610841,16.00134,14.47204,13.63347,13.19225,12.80665,0.02890654,1.027744e-05,0.5088742106344973,1.5292999999999992,0.8385699999999989,0.4412200000000013,0.8268200000000014
2005eq,5,0.02823,0.00086,0.02831,1e-05,0.02893,1e-05,16.3033,0.157926,35.5563,0.160218,-9.0,0,1,-0.018126,0.02438,1.43934,0.054209,16.0393,0.0464354,0.00689109,0.000294722,-0.000363008,2.7919e-06,-5.36627e-06,47.2055,-7.0332,-999,-999,-9.0,23.0788,250,0.0636272,10.3697,0.14,53655.3,0.1003,68,62.287,0.67246,0.0537,0.0671,-0.048,0.001,1.0,0.004,2005eq,1.2376499629908296e+18,47.20134428,-7.040610841,16.00134,14.47204,13.63347,13.19225,12.80665,0.02890654,1.027744e-05,0.5088742106344973,1.5292999999999992,0.8385699999999989,0.4412200000000013,0.8268200000000014
2005eq,64,0.02823,0.00086,0.02831,1e-05,0.02893,1e-05,16.305,0.158705,35.558,0.160985,-9.0,0,1,-0.022145,0.028769,1.30814,0.076229,16.051,0.0503167,0.00681705,0.000315926,-0.000452898,1.55569e-06,-7.48426e-06,47.2055,-7.0332,-999,-999,-9.0,23.0788,250,0.0636272,10.3697,0.478,53654.8,0.0894,66,61.7964,0.62383,0.0595,0.0671,-0.0449,0.001,1.0,0.004,2005eq,1.2376499629908296e+18,47.20134428,-7.040610841,16.00134,14.47204,13.63347,13.19225,12.80665,0.02890654,1.027744e-05,0.5088742106344973,1.5292999999999992,0.8385699999999989,0.4412200000000013,0.8268200000000014
2008ar,57,0.02849,0.00086,0.02732,1e-05,0.02617,1e-05,16.1838,0.178289,35.4368,0.180322,-9.0,0,1,-0.092002,0.028139,0.19622,0.086288,15.9649,0.0356722,0.00737955,0.000242458,-1.32006e-05,-2.62083e-06,-5.59768e-06,186.158,10.8382,-999,-999,-9.0,-342.801,250,0.0316567,9.98914,-9.0,54535.1,0.0735,38,52.6928,0.0569034,0.0636,0.0665,0.0422,0.002,1.0,0.006,2008ar,1.2376584938926244e+18,186.156492,10.83904381,16.50283,15.16011,14.42618,14.05355,13.73507,0.0261725,1.063089e-05,0.10227611465631813,1.34272,0.7339299999999991,0.3726300000000009,0.6911100000000001
2008ar,5,0.02849,0.00086,0.02732,1e-05,0.02617,1e-05,16.0383,0.176186,35.2913,0.178243,-9.0,0,1,-0.065509,0.022788,-0.139414,0.037394,15.9302,0.0301581,0.00761907,0.000211632,-0.000108081,-8.36138e-08,-3.54917e-06,186.158,10.8382,-999,-999,-9.0,-342.801,250,0.0316567,9.98914,0.05,54535.4,0.0444,56,69.5915,0.10477,0.0537,0.0665,0.0216,0.002,1.0,0.006,2008ar,1.2376584938926244e+18,186.156492,10.83904381,16.50283,15.16011,14.42618,14.05355,13.73507,0.0261725,1.063089e-05,0.10227611465631813,1.34272,0.7339299999999991,0.3726300000000009,0.6911100000000001
