CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,objid_GAL,ra_GAL,dec_GAL,u_GAL,g_GAL,r_GAL,i_GAL,z_GAL,redshift_GAL,redshift_err_GAL,separation_arcmin,u_g,g_r,r_i,i_z
2010Y,66,0.01233,0.00084,0.01142,1e-05,0.01105,1e-05,14.4873,0.252697,33.7403,0.254135,-9.0,0,0,-0.068675,0.031853,-2.58836,0.088112,14.7167,0.0372293,0.023298,0.000798876,0.000360335,-2.15881e-05,-2.23359e-05,162.766,65.7797,-999,-999,-9.0,-269.901,250,0.0114994,10.1182,0.047,55247.8,0.0882,54,66.2485,0.12246,0.0692,0.1488,0.0075,0.001,1.0,0.003,2010Y,1.2376515387083325e+18,162.7625264,65.78155923,16.04423,14.17752,13.3722,12.95105,12.65656,0.01077923,6.581171e-06,0.14054996310469497,1.8667099999999994,0.80532,0.421149999999999,0.7156399999999987
1999dk,50,0.01389,0.00085,0.014,0.0,0.01502,0.0,14.5523,0.287538,33.8053,0.288803,-9.0,0,0,0.019292,0.027322,0.54421,0.11017,14.6098,0.0417218,0.0257099,0.000987962,-8.64983e-05,-2.50247e-06,-2.1984e-05,22.8622,14.2849,-999,-999,-9.0,31.2944,250,0.0432866,9.64099,0.1185,51415.2,0.1765,34,204.583,3.05613e-26,0.0593,0.1338,0.0257,0.004,1.0,0.017,1999dk,1.2376536518446287e+18,22.86100356,14.27750052,15.49081,14.16797,13.5409,13.20668,12.98827,0.01498667,1.881604e-05,0.44938624492555146,1.3228399999999993,0.6270699999999998,0.3342200000000002,0.5526300000000006
1999dk,57,0.01389,0.00085,0.014,0.0,0.01502,0.0,14.4121,0.294973,33.6651,0.296207,-9.0,0,0,-0.002704,0.040957,-0.329226,0.069128,14.5259,0.0434113,0.0277745,0.00111052,-0.000369925,1.93323e-06,-3.39881e-05,22.8622,14.2849,-999,-999,-9.0,31.2944,250,0.0432866,9.64099,-9.0,51415.2,0.0581,34,43.3692,0.13025,0.1006,0.1338,0.0212,0.003,1.0,0.013,1999dk,1.2376536518446287e+18,22.86100356,14.27750052,15.49081,14.16797,13.5409,13.20668,12.98827,0.01498667,1.881604e-05,0.44938624492555146,1.3228399999999993,0.6270699999999998,0.3342200000000002,0.5526300000000006
2013gq,51,0.01453,0.00085,0.01457,4e-05,0.01381,4e-05,14.4996,0.214608,33.7526,0.2163,-9.0,0,0,-0.102076,0.022183,-0.740468,0.076922,14.379,0.039779,0.0317977,0.001165,9.05594e-06,-1.13206e-05,-2.0622e-05,124.473,23.4696,-999,-999,-9.0,11.9841,250,0.0486677,10.8931,0.002,56384.7,0.0045,32,16.0365,0.9916,0.0466,0.1279,0.0334,0.001,1.0,0.003,2013gq,1.2376640945074342e+18,124.4479275,23.47652321,17.60114,15.99533,15.26565,14.89858,14.65522,0.01286902,9.848947e-06,1.4410301663371514,1.6058100000000017,0.7296799999999983,0.36707,0.6104300000000009
2001fe,63,0.01467,0.00085,0.01448,1e-05,0.01351,1e-05,14.6386,0.239175,33.8916,0.240694,-9.0,0,0,-0.055329,0.026434,0.7426,0.096685,14.4295,0.0319507,0.0303538,0.000893241,-0.000432179,8.71927e-06,-2.04234e-05,144.488,25.4948,-999,-999,-9.0,-56.6491,250,0.0192883,9.95617,0.095,52229.3,0.2575,22,34.8371,0.0402898,0.0607,0.1267,0.0191,0.002,1.0,0.007,2001fe,1.2376671122606653e+18,144.4916542,25.49478859,15.82747,13.99622,13.21698,12.87992,12.58666,0.01350777,6.624612e-06,0.19790338805197122,1.8312500000000007,0.7792399999999997,0.33705999999999925,0.6303199999999993
iPTF16auf,150,0.01543,0.00085,0.01566,0.0,0.01502,0.0,14.8214,0.313702,34.0744,0.314862,-9.0,0,0,0.048315,0.031022,0.046602,0.085019,15.0843,0.0366445,0.0166059,0.000560464,2.73096e-05,-3.18795e-06,-1.52068e-05,217.788,27.236,-999,-999,-9.0,68.1596,250,0.0130772,9.05163,0.017,57538.1,0.0959,16,65.9142,5.12511e-08,0.0678,0.1205,0.068,0.003,1.0,0.023,iPTF16auf,1.2376651784488225e+18,217.7861868,27.23828034,18.14319,16.91937,16.88607,16.85447,16.58952,0.01498914,1.053126e-05,0.16755997909365236,1.22382,0.03330000000000055,0.03160000000000096,0.29654999999999987
2011im,56,0.01549,0.00085,0.01493,1e-05,0.01616,1e-05,15.0202,0.339288,34.2732,0.34036,-9.0,0,0,0.091116,0.057296,-1.45096,0.2899,15.4868,0.0579502,0.0114626,0.000611807,0.00244053,-3.29565e-05,-2.37836e-05,341.105,-0.1672,-999,-999,-9.0,-164.78,250,0.0555582,10.5259,0.001,55904.3,0.3733,14,9.75193,0.78009,0.1461,0.1201,-0.0816,0.001,1.0,0.017,2011im,1.2376635431508378e+18,341.1015397,-0.162082994,15.03269,13.28501,12.41189,11.99351,11.65866,0.01616108,5.775087e-06,0.3706297066110513,1.7476800000000008,0.8731200000000001,0.4183799999999991,0.7532300000000003
2001V,63,0.01557,0.00124,0.01592,0.0009,0.01488,0.0009,14.5372,0.28932,33.7902,0.290577,-9.0,0,0,-0.032722,0.02588,0.91446,0.080065,14.3219,0.0315303,0.0335144,0.000973274,2.25971e-06,-1.55786e-05,-2.14825e-05,179.354,25.2025,-999,-999,-9.0,102.366,250,0.0168372,10.9081,3.854,51973.9,0.055,64,65.8482,0.41268,0.0581,0.1743,-0.0316,0.001,1.0,0.004,2001V,1.2376674478013809e+18,179.3279839,25.19000111,17.14737,15.94742,15.59856,15.89882,16.21712,0.0142823,8.043373e-06,1.5991900280500175,1.1999499999999994,0.3488599999999984,-0.30025999999999975,-0.6185600000000004
2001V,63,0.01557,0.00124,0.01592,0.0009,0.01488,0.0009,14.5372,0.28932,33.7902,0.290577,-9.0,0,0,-0.032722,0.02588,0.91446,0.080065,14.3219,0.0315303,0.0335144,0.000973274,2.25971e-06,-1.55786e-05,-2.14825e-05,179.354,25.2025,-999,-999,-9.0,102.366,250,0.0168372,10.9081,3.854,51973.9,0.055,64,65.8482,0.41268,0.0581,0.1743,-0.0316,0.001,1.0,0.004,2001V,1.237667447801381e+18,179.3611769,25.23306249,16.79362,15.59277,15.05709,14.81143,14.6145,0.01490993,1.017246e-05,1.8746746314359246,1.2008500000000009,0.5356799999999993,0.24566000000000088,0.4425900000000009
2001V,50,0.01557,0.00124,0.01592,0.0009,0.01488,0.0009,14.5542,0.289137,33.8072,0.290395,-9.0,0,0,-0.054393,0.02533,0.86688,0.041652,14.2942,0.0304065,0.0343828,0.000962903,-0.000138411,9.35931e-07,-2.01335e-05,179.354,25.2025,-999,-999,-9.0,102.366,250,0.0168372,10.9081,3.854,51974.3,0.0338,74,147.358,8.64493e-07,0.0573,0.1743,-0.0164,0.001,1.0,0.004,2001V,1.2376674478013809e+18,179.3279839,25.19000111,17.14737,15.94742,15.59856,15.89882,16.21712,0.0142823,8.043373e-06,1.5991900280500175,1.1999499999999994,0.3488599999999984,-0.30025999999999975,-0.6185600000000004
2001V,50,0.01557,0.00124,0.01592,0.0009,0.01488,0.0009,14.5542,0.289137,33.8072,0.290395,-9.0,0,0,-0.054393,0.02533,0.86688,0.041652,14.2942,0.0304065,0.0343828,0.000962903,-0.000138411,9.35931e-07,-2.01335e-05,179.354,25.2025,-999,-999,-9.0,102.366,250,0.0168372,10.9081,3.854,51974.3,0.0338,74,147.358,8.64493e-07,0.0573,0.1743,-0.0164,0.001,1.0,0.004,2001V,1.237667447801381e+18,179.3611769,25.23306249,16.79362,15.59277,15.05709,14.81143,14.6145,0.01490993,1.017246e-05,1.8746746314359246,1.2008500000000009,0.5356799999999993,0.24566000000000088,0.4425900000000009
