objid,ra,dec,u,g,r,i,z,redshift,redshift_err
1.23768E+18,325.806316,0.739923337,22.09828,22.19907,21.6601,20.62998,20.36814,1.031028,0.000114702
1.23768E+18,2.190690731,2.331507303,24.09838,22.64515,22.09835,22.01235,21.5833,1.057925,0.000125403
1.23768E+18,38.95590787,3.178393899,22.86981,22.415,21.65703,21.0406,20.05997,1.048169,0.000269316
1.23768E+18,29.10570096,3.424873584,22.75677,22.80673,21.78619,21.06307,20.44058,1.028414,0.000177624
1.23768E+18,41.06630755,2.670709692,22.59459,22.80738,21.88315,21.59284,20.82419,1.036058,8.98E-05
1.23767E+18,127.2206008,21.25607854,22.26138,22.13691,21.76274,21.46224,20.7547,1.048559,9.88E-05
1.23767E+18,126.5614645,20.67124522,22.90588,21.79667,21.04803,20.61717,20.12331,1.032475,0.000246924
1.23767E+18,41.08667816,-4.328779395,23.20748,22.26203,21.72801,21.81847,20.66439,1.272034,0.000193513
1.23767E+18,41.03995086,-4.365872806,21.7332,21.71362,21.37159,20.98267,20.14832,1.067246,0.000286323
1.23767E+18,1.376837444,-3.275171842,23.15085,22.59316,22.23728,21.82243,20.87179,1.013286,7.95E-05
1.23767E+18,1.49233162,-4.696379386,22.53476,22.39213,21.62095,21.37056,21.55458,1.119079,8.46E-05
1.23767E+18,150.8203918,15.06419975,24.35408,22.84955,22.18594,21.4803,21.3488,1.0656,0.000106047
1.23767E+18,155.2439292,18.14531296,22.4302,22.95097,22.01077,21.54725,21.3371,1.001205,0.000148454
1.23767E+18,141.9990629,14.64130373,24.14612,23.16553,22.41595,22.15722,21.23539,1.093332,0.00012173
1.23767E+18,144.467136,14.87876255,22.72296,22.76797,22.30583,22.24206,22.26979,1.265886,8.11E-05
1.23767E+18,150.8184484,19.3706788,22.66032,22.56106,22.33713,21.82884,21.11609,1.057626,0.000178463
1.23767E+18,146.8283474,18.19680357,23.19094,22.37794,21.52923,20.91504,20.31193,1.139693,0.00038734
1.23767E+18,140.7292774,15.22262865,23.50632,22.39701,21.96296,21.86592,21.51285,1.155603,0.000154902
1.23767E+18,146.8161818,18.39279618,23.43825,22.53369,22.27552,21.68213,20.97746,1.077088,0.000137927
1.23767E+18,155.2602105,22.02630799,22.73928,22.98109,22.01398,21.7114,21.47892,1.009242,9.98E-05
1.23767E+18,146.8178571,19.07547733,22.98935,23.12124,22.22077,21.92914,21.06187,1.019943,0.000130879
1.23767E+18,145.9876524,18.9494536,23.30402,22.68539,22.34948,22.29393,21.38341,1.07935,0.000151836
1.23767E+18,145.9865738,18.88921759,22.83754,22.88453,21.94432,21.79633,21.33287,1.049103,0.000184057
1.23767E+18,142.8081893,19.69436479,22.34438,21.79305,21.26269,20.90522,20.524,1.337369,7.67E-05
1.23767E+18,142.7990107,18.32052382,24.43861,22.77798,22.20624,21.7879,20.92659,1.228634,0.000181337
1.23765E+18,255.0559313,37.92068181,22.54007,23.18523,21.63096,20.47577,19.48242,1.084088,0.000490988
1.23766E+18,334.3478822,-0.958079893,23.3473,23.77114,22.61085,22.48876,21.64228,1.019856,0.000164725
1.23766E+18,10.83600797,-0.467389725,22.57301,22.47765,22.0435,21.66014,20.8275,1.113227,0.000274884
1.23766E+18,26.80661925,-1.024778772,23.34643,22.75023,22.57191,22.21663,21.67174,1.161526,0.000123214
1.23766E+18,35.02881547,0.29485764,23.00853,22.5827,22.145,21.53804,20.86817,1.017528,9.39E-05
1.23766E+18,359.28737,-0.453802867,22.56402,22.75565,22.04481,21.65914,20.79055,1.047515,0.000305465
1.23766E+18,4.81372359,-0.593084095,22.83753,22.79277,22.17335,21.54082,20.75714,1.009878,0.000186573
1.23766E+18,359.3329666,1.186764005,22.68359,22.06683,21.71279,21.14177,21.0488,1.124921,0.000102731
1.23766E+18,153.6905035,47.78866347,23.84742,22.78555,22.09866,21.0559,19.91022,1.007954,0.00036453
1.23766E+18,193.6124339,53.13705254,24.85232,24.92923,22.38453,21.25231,19.91478,1.015905,0.000338264
1.23766E+18,231.1522797,50.87692285,25.90433,25.80099,22.16247,21.11343,19.84522,1.045026,0.000369707
1.23766E+18,4.962115513,35.64710909,23.00735,23.66882,22.29859,21.27181,19.9129,1.008152,0.000268308
1.23766E+18,132.487371,30.44669173,22.34694,22.59128,21.7704,21.50596,21.52036,1.242208,0.000194108
1.23766E+18,211.2300831,41.7407913,23.8613,23.62967,21.78146,20.64567,19.53161,1.002382,0.000203746
1.23767E+18,359.7444427,0.299278235,24.17987,22.82303,21.9088,21.64863,20.56996,1.095836,0.000138103
1.23767E+18,36.81233862,0.333367241,23.93397,22.3327,21.85183,21.37714,21.09612,1.010603,7.91E-05
1.23767E+18,163.2699679,25.12559736,22.28454,22.15823,21.63076,21.3218,20.22816,1.025186,0.000125907
1.23767E+18,161.4743893,25.22704635,23.09354,23.00447,22.59867,22.11257,22.27057,1.133216,0.000129847
1.23767E+18,132.4776897,17.90510604,23.87136,22.58119,22.15728,21.89927,20.96999,1.002708,9.79E-05
1.23767E+18,163.2630144,23.22186878,23.29599,22.61655,22.6761,22.25599,20.7,1.242302,0.000262985
1.23768E+18,359.275858,1.242043725,22.97084,22.19105,21.92679,21.54596,21.11736,1.066289,6.75E-05
1.23768E+18,359.7575625,1.415267124,23.19995,22.50969,22.2503,22.27795,20.96616,1.491515,0.000122071
1.23768E+18,35.04872651,-5.574833322,22.62364,23.24732,22.34074,21.79766,21.17517,1.000062,0.000107976
1.23768E+18,34.09359229,2.858930902,22.57874,22.86984,22.44929,21.77208,20.86084,1.025645,8.91E-05
1.23768E+18,18.07423224,2.663437748,23.19566,23.07599,21.88124,21.67607,20.57586,1.101103,0.000122129
1.23768E+18,34.07485676,1.696412173,22.60396,22.43476,22.44767,21.84885,21.48278,1.049566,0.000126254
1.23768E+18,26.79113311,1.843246027,22.88061,22.36646,21.87065,21.51324,20.70643,1.084016,0.00015677
1.23768E+18,34.08041813,1.318906717,25.71891,22.9787,22.04936,22.13392,21.2614,1.082273,0.000124006
1.23768E+18,37.42606714,4.031978949,22.67529,22.64207,21.93394,21.3772,20.81278,1.430607,9.59E-05
1.23768E+18,36.79265703,2.337302906,22.84242,22.36676,21.69246,21.77113,20.72966,1.105247,0.000164344
1.23768E+18,334.3348626,-1.573548733,22.35769,22.38499,21.75221,21.0696,20.91906,1.111936,8.87E-05
1.23768E+18,36.79578051,-5.961932571,23.6836,22.48672,22.44229,22.27024,22.19226,1.16088,0.000107338
1.23768E+18,18.05764978,-2.822622647,23.07735,22.62105,22.06463,21.78291,21.82793,1.086952,9.03E-05
1.23768E+18,36.81625391,-5.164675438,21.96565,22.50194,22.0627,22.00749,21.79497,1.465001,7.65E-05
1.23768E+18,36.79458931,-5.657048754,22.84459,22.97316,22.44493,21.84319,20.93787,1.154996,0.00015525
1.23768E+18,35.02888381,-5.823345905,24.12652,21.86662,21.28306,21.23274,22.08177,1.010156,3.10E-05
1.23768E+18,35.05300878,-7.38141928,21.66407,21.6214,21.38317,21.37325,22.32059,1.011156,3.63E-05
1.23768E+18,13.7869128,-4.065465326,22.80846,23.01103,22.1831,22.03234,21.69471,1.377047,0.000240751
1.23768E+18,35.64570595,-3.862260482,22.93905,22.50653,22.29233,22.51558,22.3896,1.036783,0.000180667
1.23768E+18,26.78336272,-4.146918276,22.46541,22.61679,22.11536,21.6404,21.16479,1.013875,0.000125583
1.23768E+18,17.32693364,-4.503731452,23.65472,22.53993,21.80973,21.5288,22.51974,1.013452,8.06E-05
1.23768E+18,18.08290314,-1.54247443,22.42805,22.2438,21.59876,22.22316,21.4644,1.125257,0.000152997
1.23768E+18,13.78910878,-1.411129526,25.50212,22.58331,21.78191,21.3053,20.92612,1.006867,0.000105627
1.23768E+18,4.950812229,-1.433379922,22.6814,22.68611,22.15357,21.41835,20.49327,1.107449,0.000213149
1.23768E+18,334.8753938,-1.87913412,21.89975,22.09094,21.44212,21.15092,21.41818,1.083306,9.70E-05
1.23768E+18,334.3259005,-1.897701701,22.4691,22.48613,22.05758,21.5572,21.69514,1.097575,0.00011862
1.23768E+18,13.77458488,-2.502835128,23.78028,22.90085,22.50621,21.89376,21.35615,1.207292,0.000241598
1.23768E+18,13.76691194,-2.630786925,23.89766,23.04461,22.13433,21.86892,22.02179,1.127463,0.00016365
1.23768E+18,4.829757014,-2.600205438,22.77899,22.53901,21.99427,21.73069,22.13354,1.158845,7.74E-05
1.23768E+18,35.64527048,-2.619686761,23.05621,23.19533,22.12491,21.79208,21.41805,1.006078,0.000170063
1.23768E+18,34.08785663,-2.710040675,25.23873,23.11778,21.64691,22.03247,22.43873,1.21104,0.000146606
1.23768E+18,7.97481991,-3.081454695,23.36171,22.72614,21.94663,21.59425,21.7577,1.003269,0.000138931
1.23768E+18,35.03428969,-3.063076244,22.38241,22.77785,21.9791,21.99539,20.84964,1.129478,0.000101475
1.23768E+18,10.81043731,26.40262046,23.28238,23.93293,21.45018,20.40747,19.53688,1.017324,0.000301056
1.23768E+18,26.79521841,4.7635287,26.07582,23.00808,21.99417,21.41625,20.56946,1.020965,0.000221495
1.23768E+18,13.78135664,3.85265076,22.03132,22.83303,21.4243,20.92822,20.45373,1.091153,0.000106235
1.23768E+18,26.79211335,4.131203396,23.66587,22.15377,21.77977,22.03283,22.37652,1.223834,0.000167925
1.23768E+18,21.00943889,3.899781686,22.62878,22.69598,21.40723,21.22182,20.49112,1.014154,0.000134435
1.23768E+18,36.80838186,2.697339375,24.33914,23.48405,22.49228,22.1383,21.43126,1.021468,0.000115683
1.23768E+18,26.80092174,2.886075194,23.46161,23.01782,22.16906,22.06559,22.01346,1.095219,0.000158219
1.23768E+18,2.632520538,3.030069475,25.27741,23.53111,22.37782,21.72902,21.30292,1.078419,0.000174272
1.23768E+18,10.55856146,2.673698656,22.03949,22.78443,22.24178,21.4873,20.71206,1.094038,0.00018308
1.23768E+18,4.950105875,2.554828079,24.09477,23.06919,22.54893,22.94042,22.77967,1.346496,0.00010463
1.23768E+18,36.80233729,1.821869981,24.26571,23.01813,22.01911,21.59581,20.80982,1.044067,0.000145705
1.23768E+18,343.3115074,1.937694265,24.5014,23.60945,22.30823,21.6563,21.29669,1.031916,0.000107649
1.23768E+18,13.7936628,1.767486647,22.98758,22.43367,21.73878,21.26729,21.9685,1.088372,0.000173178
1.23768E+18,359.284785,1.797893463,22.79788,22.7083,22.03662,21.37161,20.4389,1.083473,0.000170525
1.23768E+18,2.635545103,1.345537517,22.73435,23.64121,21.81258,20.66566,19.84788,1.046308,0.000325952
1.23768E+18,343.3382022,1.2303501,22.57549,22.89827,21.85846,21.82655,20.41308,1.260831,0.000254495
1.23768E+18,334.3359539,1.027283286,23.72645,22.83236,22.27997,21.81501,21.67216,1.148342,0.000135483
1.23768E+18,4.958196295,3.747953284,22.82392,22.37625,22.30169,22.33701,21.86016,1.178365,9.25E-05
1.23768E+18,10.83295823,2.386881324,25.4433,22.41849,21.65671,21.3884,21.25893,1.087901,0.000126702
