objid,ra,dec,u,g,r,i,z,redshift,redshift_err
1.23765E+18,26.63829083,14.57192589,22.92546,23.14375,21.4264,20.37611,19.55218,0.9334808,0.000455599
1.23765E+18,132.0835436,51.28397479,26.54809,22.63292,21.42122,20.41533,19.39381,0.9231607,0.000216665
1.23765E+18,124.4641696,47.25273574,22.8933,22.30083,21.73027,20.80616,19.87355,0.9032551,0.000100808
1.23765E+18,138.2058286,59.13336497,25.28515,22.91353,21.74071,20.30694,19.52469,0.9088661,0.000128406
1.23765E+18,134.3365278,51.92183796,22.54767,22.59162,21.67177,20.53848,19.79272,0.9664744,0.000162558
1.23765E+18,236.9080972,57.43755838,25.09063,23.67796,21.66198,20.50638,19.80305,0.9868842,0.000391006
1.23766E+18,223.7640777,55.42617346,21.84942,21.88851,21.62229,20.60462,19.9191,0.9546111,0.000143523
1.23766E+18,218.0471714,58.20750276,22.54977,21.7455,21.46294,20.39569,19.74108,0.9769837,0.000269506
1.23766E+18,202.692314,-2.336681295,24.25836,22.54587,20.67192,19.5039,19.61366,0.9982665,5.52E-05
1.23766E+18,224.9881488,-0.923049251,25.00102,21.28418,19.80906,18.7735,18.25538,0.9386359,9.88E-05
1.23766E+18,326.3844292,0.639698458,22.5427,22.61687,22.07107,21.43641,21.16269,0.9527144,0.000121553
1.23766E+18,335.8440203,-0.803095062,22.92029,22.07411,21.56818,21.21605,20.80234,0.9592043,0.00013863
1.23766E+18,30.14437981,-0.984375552,22.16388,21.96448,21.53546,21.22787,20.51452,0.975084,5.50E-05
1.23766E+18,23.56908674,-0.010923543,24.61879,23.1538,22.1143,22.01232,21.27484,0.9078934,0.000157098
1.23766E+18,23.09479229,0.308123264,25.92671,22.13919,21.46682,20.70234,20.38346,0.9105833,9.68E-05
1.23766E+18,24.87194046,0.272829404,21.73013,21.79393,21.18039,20.86973,20.04862,0.9544032,0.000100382
1.23766E+18,25.08577423,0.260597007,23.19818,22.96488,22.28825,22.16499,21.42528,0.9042828,3.68E-05
1.23766E+18,27.98899634,0.260213951,22.81917,22.32053,21.39179,20.95213,21.46276,0.9367031,6.47E-05
1.23766E+18,23.66655069,0.675603971,22.87098,22.52324,22.1799,21.79962,20.80083,0.9741533,5.41E-05
1.23766E+18,33.4591404,0.671686312,24.42852,22.54354,22.06814,21.05222,21.05128,0.923044,0.000137009
1.23766E+18,327.8903251,-1.025710069,25.78001,22.05898,21.4619,20.46847,20.06878,0.937524,0.000125599
1.23766E+18,3.15392627,-0.896711133,22.05407,22.45912,21.44214,21.15719,21.22663,0.959561,8.59E-05
1.23766E+18,357.2255317,-0.609237963,21.75739,21.65327,21.40411,20.45228,19.87821,0.9276032,6.50E-05
1.23766E+18,356.2056824,-0.1287193,25.74504,21.96492,20.92397,20.86521,20.88749,0.9269743,7.67E-05
1.23766E+18,3.392001385,0.273177316,23.21925,22.55306,22.09073,21.68145,21.3746,0.9620306,9.28E-05
1.23766E+18,3.711256625,0.653158908,23.3431,22.73547,22.21246,21.73044,21.07038,0.9339284,4.50E-05
1.23766E+18,177.0045321,55.84378136,24.42473,23.61205,21.84111,20.69648,19.65057,0.9097158,0.000251081
1.23766E+18,125.9761622,39.12587272,26.42762,26.003,22.11513,21.10299,19.73687,0.9330354,0.000301793
1.23766E+18,132.1066014,44.11236457,26.4013,24.25549,21.80983,20.50974,19.5094,0.9482077,0.000243555
1.23766E+18,153.7103591,47.27883371,25.88082,24.92001,21.995,21.09562,19.92389,0.9423677,0.000399502
1.23766E+18,192.4729617,51.44532293,27.25967,23.48043,21.09923,20.06107,18.95894,0.9206035,0.000200195
1.23766E+18,154.0126045,54.18060336,22.87877,22.32591,21.30203,20.24284,20.38439,0.9171309,0.00022398
1.23766E+18,153.1666356,48.24220532,23.34248,22.50423,21.85525,20.84581,19.9142,0.9210215,0.000190136
1.23766E+18,148.0240591,43.65911629,24.18116,25.12636,21.94393,20.68498,19.83041,0.9043769,0.000189358
1.23766E+18,129.6741579,32.71576873,22.48326,23.45993,22.0123,20.80725,19.63236,0.9753069,0.000317025
1.23766E+18,164.2290987,47.95183867,26.33893,22.79309,21.17992,20.06303,19.26046,0.9048685,0.00039952
1.23766E+18,159.2469768,46.76985216,22.37357,23.48502,21.74116,20.35052,19.61951,0.9501734,0.000271848
1.23766E+18,167.1672344,49.0529769,24.88331,22.81748,21.64205,20.53135,19.68031,0.9093089,0.000159819
1.23766E+18,217.1533271,50.57503719,25.34007,22.76247,21.94368,20.76624,19.8632,0.990285,0.000382422
1.23766E+18,213.0472059,52.16058764,23.54395,22.67026,22.1546,21.54787,21.40776,0.9317557,8.47E-05
1.23766E+18,213.3385183,52.23511436,23.67265,22.80113,22.72579,22.06906,22.40426,0.9233118,5.93E-05
1.23766E+18,227.0264945,48.58035634,22.90359,25.21274,21.15922,20.11388,19.22512,0.9271856,0.000321366
1.23766E+18,242.9153338,38.80293612,22.4784,23.8648,21.4793,20.15406,19.19193,0.9326438,0.000270712
1.23766E+18,238.3261757,44.78005706,26.4855,24.17296,21.9009,20.83951,19.77428,0.9173391,0.00028793
1.23766E+18,245.6326614,40.46681,23.86272,23.67801,21.7855,20.53317,19.72439,0.9254805,0.000330858
1.23766E+18,344.549398,-0.79013832,22.98857,23.1268,22.34669,21.57366,21.02115,0.9936594,0.000118067
1.23766E+18,35.56044112,0.859115409,25.20034,22.6981,22.48191,21.53697,21.42213,0.9021002,7.68E-05
1.23766E+18,132.1571628,31.72960097,22.92482,22.60838,22.36956,22.2084,21.13357,0.9653978,8.26E-05
1.23766E+18,133.1587819,32.02772801,23.62605,22.34354,21.98329,21.76514,21.18629,0.9541444,8.98E-05
1.23766E+18,129.6068668,28.00702695,24.11302,21.48394,21.02126,20.91952,21.16956,0.9936584,0.000102937
1.23766E+18,129.7784329,28.34798472,23.31883,22.83265,22.36657,21.80159,20.92449,0.9667476,5.42E-05
1.23766E+18,117.5258373,20.61246881,24.35371,22.86378,21.59009,20.58367,19.83991,0.9456257,0.000215048
1.23766E+18,127.4371255,27.25582873,24.53446,22.32804,22.05673,21.18172,20.54985,0.9360442,0.000254913
1.23766E+18,127.476302,27.402742,23.44843,22.36387,22.26003,21.53971,21.02161,0.9056091,6.21E-05
1.23766E+18,131.9911085,29.9895677,22.11742,22.26312,21.90416,20.82557,20.33344,0.921942,5.45E-05
1.23766E+18,137.364664,31.09636656,24.61804,22.51617,21.9417,21.27158,21.55409,0.903851,7.37E-05
1.23766E+18,135.8320429,29.57294514,22.74041,22.72482,21.99224,21.22128,20.87682,0.9359083,0.000192771
1.23766E+18,137.351012,30.26726395,23.03021,22.72199,22.22955,21.44045,20.9439,0.9475697,0.000132831
1.23766E+18,136.8787893,30.65628815,23.02696,22.43539,21.55753,21.00716,20.8607,0.9080732,5.27E-05
1.23766E+18,134.9888139,30.53600065,22.35978,22.48293,21.55703,21.06799,20.04643,0.9799753,0.000138112
1.23766E+18,136.1616399,31.30420141,23.42035,22.06371,21.33274,20.7486,20.25176,0.9110257,8.44E-05
1.23766E+18,213.7963737,53.50800085,22.72663,22.76802,22.13833,21.71647,22.64605,0.9439414,4.66E-05
1.23766E+18,193.7942281,57.16480614,22.99071,23.33733,22.07066,20.8951,19.93372,0.9410366,0.000447458
1.23766E+18,215.056314,52.81551524,22.77625,22.99421,21.95854,21.10803,20.22446,0.9185817,9.56E-05
1.23766E+18,215.5323047,52.75872457,22.01804,22.64452,22.47468,22.18332,21.89528,0.9752821,5.29E-05
1.23766E+18,213.853107,53.52527248,24.99148,22.73927,22.04524,21.4639,20.77338,0.959835,0.000118325
1.23766E+18,215.1658443,54.61752045,24.05479,22.50168,22.41522,21.95251,21.49105,0.9041885,2.77E-05
1.23766E+18,225.8736671,39.91997772,22.22893,21.66485,21.00651,20.01451,19.31005,0.974451,0.00012812
1.23766E+18,160.3624174,42.7053969,23.15169,23.36507,21.21339,20.16544,19.27589,0.9349998,0.000212125
1.23766E+18,216.6810673,40.41842405,24.07816,23.08725,22.08199,20.71198,19.80679,0.9265577,0.000165145
1.23766E+18,222.7705742,32.24800132,23.76745,22.64347,21.96166,20.93298,19.78844,0.9099172,0.000202652
1.23766E+18,227.8020844,42.98750037,23.92044,25.14899,22.5206,20.88817,19.75852,0.9334862,0.000397206
1.23766E+18,236.105082,38.71201625,23.68708,23.9459,21.66669,20.56072,19.50743,0.9249886,0.000420862
1.23766E+18,10.40819422,-0.319239176,22.40976,22.59276,21.76634,21.19724,20.14886,0.9399252,0.000152129
1.23766E+18,359.7449799,0.076732292,24.0468,23.47494,22.4834,22.1953,21.48065,0.967416,0.000114125
1.23767E+18,160.303675,27.24557101,22.74377,22.59315,21.95723,21.47644,21.27972,0.9109087,5.02E-05
1.23767E+18,163.7144561,27.84005116,23.26557,22.42125,22.01757,21.39501,20.67804,0.9038534,5.11E-05
1.23767E+18,165.8276474,28.17606619,23.57556,22.02559,21.35456,20.49455,20.25173,0.9022579,8.87E-05
1.23767E+18,163.4340667,28.57126677,23.85658,22.45046,21.86723,21.16965,21.77633,0.969013,0.000110588
1.23767E+18,157.2349697,24.7169185,22.71613,22.07804,21.44317,20.61099,19.70849,0.9717829,0.000173251
1.23767E+18,163.3269738,26.93111143,22.1571,22.23277,21.61634,20.97234,20.53128,0.9395433,0.000172707
1.23765E+18,117.1462965,39.21466029,22.8977,22.70452,22.06546,20.79253,19.92974,0.9599071,0.000167342
1.23765E+18,146.5373669,59.2800707,23.27978,22.97155,21.86767,20.59153,19.57687,0.9344478,0.000314278
1.23765E+18,133.5572803,56.4936976,24.18041,24.06257,21.99378,20.97902,19.48417,0.9594436,0.000335381
1.23765E+18,152.2757706,1.452855515,25.49951,22.87197,21.36586,20.17336,19.39008,0.9051735,0.000161569
1.23765E+18,38.2802726,-9.307584411,22.07003,22.34699,22.16122,21.77242,22.17129,0.9159214,4.57E-05
1.23765E+18,223.5571417,58.70525644,23.03806,22.25756,21.71552,20.66045,19.75034,0.9690579,0.000259338
1.23766E+18,181.7056963,58.85119297,24.7597,25.87187,22.12093,21.02065,19.81531,0.9045451,0.000397588
1.23766E+18,255.329607,35.55056524,23.90808,23.04244,21.93353,20.74644,19.96642,0.9283216,0.00036524
1.23766E+18,327.3255788,1.131315721,23.95368,24.21845,21.59655,21.64935,20.20381,0.9711814,0.000261782
1.23766E+18,334.5870337,-1.252943166,25.02653,22.62842,22.34203,21.66619,22.51486,0.9470413,0.000148287
1.23766E+18,354.1493115,-1.018702312,22.65355,22.1793,21.45206,21.35175,21.46198,0.9183543,0.000107327
1.23766E+18,36.39546449,-0.494124277,23.35859,22.4635,21.95327,20.71242,19.90629,0.969043,0.00028463
1.23766E+18,21.40916525,-0.938122327,24.2413,23.21342,21.65859,20.65447,19.92216,0.954156,0.00021505
1.23766E+18,5.566832994,-0.495793715,22.49268,22.96029,22.02359,21.55147,21.43855,0.9079324,7.50E-05
1.23766E+18,6.310119512,-0.513566951,22.49782,22.5174,21.82756,21.23834,21.46551,0.9398586,0.000142041
1.23766E+18,351.658531,-0.032245133,23.35568,22.51468,21.8806,21.17014,21.53245,0.9460578,9.76E-05
1.23766E+18,5.804715616,1.081064003,22.51107,21.881,21.4906,21.02249,20.81713,0.9731907,7.62E-05
1.23766E+18,8.337667256,1.169657045,21.93277,22.21114,21.27131,20.67281,20.30482,0.933221,0.000122623
1.23766E+18,149.8281671,49.09519329,22.52605,22.47928,21.26319,20.34067,19.45707,0.9896017,0.000168686
